Year;Month;Nro_visitas;Tipo_visita;Barco;Temp;Sal;NTS;OD;pH;AT;Cla;ABSO;CDOM;PP;BACT;FITO;ZOO;ICTIO
2003;nov;unica;Propia;CC;Temp;Sal;NTS;OD;NA;NA;Cla;ABSO;NA;NA;NA;FITO;ZOO;ICTIO
2003;dic;multiple;Propia;CC;Temp;Sal;NTS;OD;NA;NA;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2004;ene;unica;Propia;CC;Temp;Sal;NTS;OD;NA;NA;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2004;feb;multiple;Propia;CC;Temp;Sal;NTS;OD;NA;NA;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2004;mar;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2004;abr;unica;Propia;CC;Temp;Sal;NTS;NA;NA;NA;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2004;may;unica;Propia;CC;Temp;Sal;NTS;NA;NA;NA;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2004;jun;unica;Propia;CC;Temp;Sal;NTS;NA;NA;NA;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2004;jul;unica;Propia;CC;Temp;Sal;NTS;NA;NA;NA;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2004;ago;unica;Propia;CC;Temp;Sal;NTS;OD;NA;NA;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2004;sep;unica;Propia;CC;Temp;Sal;NTS;OD;NA;NA;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2004;oct;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2004;nov;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2004;dic;unica;Oportunista;CC;Temp;Sal;NTS;NA;NA;NA;Cla;ABSO;CDOM;NA;NA;FITO;ZOO;ICTIO
2005;ene;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2005;feb;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2005;mar;multiple;Propia;CC;Temp;Sal;NTS;OD;NA;NA;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2005;abr;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2005;may;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
