Year;Month;Nro_visitas;Tipo_visita;Barco;Temp;Sal;NTS;OD;pH;AT;Cla;ABSO;CDOM;PP;BACT;FITO;ZOO;ICTIO
2017;ago;unica;Propia;AH;Temp;Sal;NTS;OD;pH;AT;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2017;sep;unica;Propia;AH;Temp;Sal;NTS;OD;pH;AT;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2017;oct;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2017;nov;unica;Propia;AH;Temp;Sal;NTS;OD;pH;AT;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2017;dic;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2018;ene;unica;Oportunista;EH;Temp;Sal;NTS;NA;NA;NA;Cla;ABSO;CDOM;NA;NA;FITO;ZOO;ICTIO
2018;feb;unica;Oportunista;EH;Temp;Sal;NTS;NA;NA;NA;Cla;ABSO;CDOM;NA;NA;FITO;ZOO;ICTIO
2018;mar;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2018;abr;unica;Propia;VA;Temp;Sal;NTS;OD;pH;AT;Cla;ABSO;CDOM;PP;BACT;FITO;ZOO;ICTIO
2018;may;multiple;Propia_Oportunista;VA-AH;Temp;Sal;NTS;OD;pH;AT;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2018;jun;unica;Propia;AH;Temp;Sal;NTS;NA;pH;AT;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2018;jul;unica;Propia;AH;Temp;Sal;NTS;OD;pH;AT;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2018;ago;unica;Oportunista;VA;Temp;Sal;NTS;NA;NA;NA;Cla;ABSO;CDOM;NA;NA;FITO;NA;NA
2018;sep;unica;Propia;AH;Temp;Sal;NTS;OD;pH;AT;Cla;ABSO;CDOM;NA;NA;FITO;ZOO;ICTIO
2018;oct;unica;Oportunista;VA;Temp;Sal;NTS;NA;NA;NA;Cla;ABSO;NA;NA;NA;FITO;ZOO;ICTIO
2018;nov;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2018;dic;multiple;Propia_Oportunista;AH-VA;Temp;Sal;NTS;OD;pH;AT;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2019;ene;unica;Propia;VA;Temp;Sal;NTS;OD;pH;AT;Cla;ABSO;CDOM;PP;BACT;FITO;ZOO;ICTIO
2019;feb;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2019;mar;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2019;abr;unica;Propia;AH;Temp;Sal;NTS;OD;NA;AT;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2019;may;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2019;jun;unica;Oportunista;VA;Temp;Sal;NTS;NA;NA;NA;Cla;ABSO;NA;NA;NA;NA;ZOO;ICTIO
2019;jul;unica;Propia;AH;Temp;Sal;NTS;OD;pH;AT;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2019;ago;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2019;sep;unica;Propia;AH;Temp;Sal;NTS;OD;pH;AT;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2019;oct;unica;Propia;AH;Temp;Sal;NTS;OD;NA;AT;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2019;nov;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2019;dic;unica;Propia;VA;Temp;Sal;NTS;OD;pH;AT;Cla;ABSO;CDOM;PP;BACT;FITO;ZOO;ICTIO
2020;ene;unica;Propia;AH;Temp;Sal;NTS;NA;NA;AT;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2020;feb;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2020;mar;unica;Propia;AH;Temp;Sal;NTS;NA;pH;AT;Cla;ABSO;CDOM;NA;NA;FITO;ZOO;ICTIO
2020;abr;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2020;may;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2020;jun;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2020;jul;unica;Oportunista;VA;Temp;Sal;NTS;NA;NA;NA;Cla;ABSO;CDOM;PP;BACT;FITO;NA;NA
2020;ago;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2020;sep;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2020;oct;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2020;nov;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2020;dic;unica;Oportunista;EH;Temp;Sal;NTS;NA;NA;NA;Cla;NA;NA;NA;NA;NA;ZOO;ICTIO
2021;ene;unica;Propia;VA;Temp;Sal;NTS;OD;pH;AT;Cla;ABSO;CDOM;PP;BACT;FITO;ZOO;ICTIO
2021;feb;unica;Oportunista;EH;Temp;Sal;NA;NA;NA;NA;Cla;NA;NA;NA;NA;NA;ZOO;ICTIO
2021;mar;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2021;abr;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2021;may;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2021;jun;unica;Oportunista;VA;Temp;Sal;NA;NA;NA;NA;Cla;NA;NA;NA;NA;NA;ZOO;ICTIO
2021;jul;unica;Oportunista;VA;Temp;Sal;NTS;NA;NA;NA;Cla;ABSO;NA;NA;NA;NA;ZOO;ICTIO
2021;ago;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2021;sep;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2021;oct;unica;Propia;VA;Temp;Sal;NTS;OD;pH;AT;Cla;ABSO;CDOM;PP;BACT;FITO;ZOO;ICTIO
2021;nov;unica;Oportunista;EH;Temp;Sal;NTS;NA;NA;NA;Cla;NA;NA;NA;NA;NA;ZOO;ICTIO
2021;dic;unica;Propia;VA;Temp;Sal;NTS;OD;pH;AT;Cla;ABSO;CDOM;PP;BACT;FITO;ZOO;ICTIO
2022;ene;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022;feb;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022;mar;unica;Propia;MA;Temp;Sal;NTS;OD;pH;AT;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2022;abr;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022;may;unica;Propia;MA;Temp;Sal;NTS;OD;pH;AT;Cla;ABSO;NA;NA;BACT;FITO;ZOO;ICTIO
2022;jun;unica;Propia;MA;Temp;Sal;NTS;OD;pH;AT;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2022;jul;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022;ago;unica;Propia;MA;Temp;Sal;NA;OD;pH;AT;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2022;sep;unica;Oportunista;EH;Temp;Sal;NTS;NA;NA;NA;Cla;NA;NA;NA;BACT;FITO;ZOO;ICTIO
2022;oct;unica;Propia;MA;Temp;Sal;NTS;OD;pH;AT;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2022;nov;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022;dic;unica;Propia;MA;Temp;Sal;NTS;OD;pH;AT;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2023;ene;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2023;feb;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2023;mar;unica;Propia;MA;Temp;Sal;NTS;NA;NA;NA;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2023;abr;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2023;may;unica;Propia;MA;Temp;Sal;NTS;OD;pH;AT;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2023;jun;unica;Propia;MA;Temp;Sal;NTS;OD;pH;AT;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2023;jul;unica;Propia;VA;Temp;Sal;NTS;OD;pH;AT;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2023;ago;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2023;sep;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2023;oct;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2023;nov;unica;Propia;AH;Temp;Sal;NTS;OD;pH;AT;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2023;dic;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2024;ene;unica;Oportunista;VA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;ZOO;ICTIO
2024;feb;unica;Propia;AH;Temp;Sal;NTS;OD;pH;AT;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2024;mar;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2024;abr;unica;Propia;MA;Temp;Sal;NTS;OD;pH;AT;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2024;may;unica;Propia;MA;Temp;Sal;NTS;OD;pH;AT;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2024;jun;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2024;jul;multiple;Propia_Oportunista;VA-MA;Temp;Sal;NTS;OD;pH;AT;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2024;ago;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2024;sep;unica;Propia;MA;Temp;Sal;NTS;OD;pH;AT;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2024;oct;unica;Oportunista;VA;Temp;Sal;NTS;OD;pH;AT;Cla;ABSO;NA;NA;BACT;FITO;NA;NA
2024;nov;unica;Oportunista;MA;Temp;Sal;NTS;NA;NA;NA;Cla;ABSO;CDOM;NA;NA;FITO;NA;NA
2024;dic;unica;Propia;MA;Temp;Sal;NTS;OD;pH;AT;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2025;ene;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2025;feb;unica;Propia;MA;Temp;Sal;NTS;OD;pH;AT;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2025;mar;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2025;abr;unica;Propia;MA;Temp;Sal;NTS;OD;pH;AT;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2025;may;unica;Propia;MA;Temp;Sal;NTS;OD;pH;AT;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2025;jun;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2025;jul;unica;Propia;MA;Temp;Sal;NTS;OD;pH;AT;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2025;ago;unica;Propia;AH;Temp;Sal;NTS;OD;pH;AT;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2025;sep;unica;Oportunista;VA;Temp;Sal;NTS;NA;NA;NA;Cla;NA;NA;NA;BACT;FITO;NA;NA
2025;oct;unica;Propia;AH;Temp;Sal;NTS;NA;pH;AT;Cla;ABSO;CDOM;NA;BACT;FITO;ZOO;ICTIO
2025;nov;multiple;Propia_Oportunista;VA-AH;Temp;Sal;NTS;OD;NA;NA;Cla;ABSO;CDOM;PP;NA;FITO;ZOO;ICTIO
2025;dic;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
